title,amount,severity,project,description
423,152,3,1, <br>1 duplicated blocks of code.<br>5 duplicated blocks of code.<br>13 duplicated blocks of code.<br>18 duplicated blocks of code.<br>2 duplicated blocks of code.<br>46 duplicated blocks of code.<br>3 duplicated blocks of code.<br>7 duplicated blocks of code.<br>4 duplicated blocks of code.
628,3,5,1, <br>This class overrides "equals()" and should therefore also override "hashCode()".
632,3,3,1, <br>Make this "public static noFeedback" field final<br>Make this "public static stdout" field final<br>Make this "public static VERBOSE" field final
634,444,2,1, <br>Reorder the modifiers to comply with the Java Language Specification.
641,134,3,1, <br>The type of the "ACTIONS" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "dset" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "fileData" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "data" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "resultList" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "table" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "result" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "set" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "writeFunctors" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "tempHash" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "result" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "elements" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "ldapContexts" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "listeners" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "items" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "pres" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "compiledComponents" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "env" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "newlist" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "items" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The return type of this method should be an interface such as "Map" rather than the implementation "Hashtable".<br>The return type of this method should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "attrs" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "remoteInterfaces" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "m_optionIndex" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "listPaths" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "ops" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "remoteInterfaceList" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "commands" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "MAP" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "stack" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The return type of this method should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "data" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "tempScanners" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "objects" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "newAppletParams" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "ldapConnections" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "appletParams" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "attr" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "MEMCACHE" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "p_stack" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "listenerSet" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "t" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "EXCPATTERNS" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "SERVERMAP" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "paramsMap" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "mChangeListeners" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "readFunctors" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "clients" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The return type of this method should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "h" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "classes" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "parsers" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "urlConfigs" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "xlabels" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "pages" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "INCPATTERNS" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "posts" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "list" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "header" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "objects" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "breakTags" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "client_map" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "attributes" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "ht" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "accumulators" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "tempList" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "iterationListeners" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "remoteListeners" object should be an interface such as "List" rather than the implementation "LinkedList".
644,235,3,1, <br>Make the "logger" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Make the "_log" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Make the "l" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Make the "log" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Rename the "log" logger to comply with the format "LOG(?:GER)?".<br>Rename the "logger" logger to comply with the format "LOG(?:GER)?".
645,2,3,1, <br>Make this IP "127.0.0.1" address configurable.
648,3,3,1, <br>Refactor the code in order to not assign to this loop counter from within the loop body.
649,130,3,1, <br>Introduce a new variable instead of reusing the parameter "input".<br>Introduce a new variable instead of reusing the parameter "tree".<br>Introduce a new variable instead of reusing the parameter "pos".<br>Introduce a new variable instead of reusing the parameter "file".<br>Introduce a new variable instead of reusing the parameter "areFollowingRedirect".<br>Introduce a new variable instead of reusing the parameter "node".<br>Introduce a new variable instead of reusing the parameter "ret".<br>Introduce a new variable instead of reusing the parameter "pTagString".<br>Introduce a new variable instead of reusing the parameter "selectName".<br>Introduce a new variable instead of reusing the parameter "token".<br>Introduce a new variable instead of reusing the parameter "actual".<br>Introduce a new variable instead of reusing the parameter "link".<br>Introduce a new variable instead of reusing the parameter "reqAttr".<br>Introduce a new variable instead of reusing the parameter "args".<br>Introduce a new variable instead of reusing the parameter "searchString".<br>Introduce a new variable instead of reusing the parameter "plainText".<br>Introduce a new variable instead of reusing the parameter "i".<br>Introduce a new variable instead of reusing the parameter "remove_scanner".<br>Introduce a new variable instead of reusing the parameter "name".<br>Introduce a new variable instead of reusing the parameter "res".<br>Introduce a new variable instead of reusing the parameter "displayMessage".<br>Introduce a new variable instead of reusing the parameter "line".<br>Introduce a new variable instead of reusing the parameter "value".<br>Introduce a new variable instead of reusing the parameter "t".<br>Introduce a new variable instead of reusing the parameter "splittee".<br>Introduce a new variable instead of reusing the parameter "count".<br>Introduce a new variable instead of reusing the parameter "s".<br>Introduce a new variable instead of reusing the parameter "string".<br>Introduce a new variable instead of reusing the parameter "url".<br>Introduce a new variable instead of reusing the parameter "_width".<br>Introduce a new variable instead of reusing the parameter "myTarget".<br>Introduce a new variable instead of reusing the parameter "content".<br>Introduce a new variable instead of reusing the parameter "inputString".<br>Introduce a new variable instead of reusing the parameter "breader".<br>Introduce a new variable instead of reusing the parameter "reader".<br>Introduce a new variable instead of reusing the parameter "expected".<br>Introduce a new variable instead of reusing the parameter "extra".<br>Introduce a new variable instead of reusing the parameter "strPathsOrJars".<br>Introduce a new variable instead of reusing the parameter "text".<br>Introduce a new variable instead of reusing the parameter "_height".<br>Introduce a new variable instead of reusing the parameter "key".<br>Introduce a new variable instead of reusing the parameter "base".<br>Introduce a new variable instead of reusing the parameter "current".<br>Introduce a new variable instead of reusing the parameter "state".<br>Introduce a new variable instead of reusing the parameter "_maxLength".<br>Introduce a new variable instead of reusing the parameter "filename".<br>Introduce a new variable instead of reusing the parameter "errorMsg".<br>Introduce a new variable instead of reusing the parameter "alias".<br>Introduce a new variable instead of reusing the parameter "path".<br>Introduce a new variable instead of reusing the parameter "strClassName".<br>Introduce a new variable instead of reusing the parameter "_title".<br>Introduce a new variable instead of reusing the parameter "inForm".<br>Introduce a new variable instead of reusing the parameter "className".<br>Introduce a new variable instead of reusing the parameter "label".<br>Introduce a new variable instead of reusing the parameter "impls".<br>Introduce a new variable instead of reusing the parameter "baseUrl".
655,1,4,1, <br>Don't try to be smarter than the JVM- remove this call to run the garbage collector.
