title,rework,severity,project,description
423,120,3,1,<br>2 duplicated blocks of code.
423,420,3,1,<br>7 duplicated blocks of code.
423,780,3,1,<br>13 duplicated blocks of code.
423,180,3,1,<br>3 duplicated blocks of code.
423,300,3,1,<br>5 duplicated blocks of code.
423,60,3,1,<br>1 duplicated blocks of code.
423,2760,3,1,<br>46 duplicated blocks of code.
423,240,3,1,<br>4 duplicated blocks of code.
423,1080,3,1,<br>18 duplicated blocks of code.
628,30,5,1,<br>This class overrides "equals()" and should therefore also override "hashCode()".
632,20,3,1,<br>Make this "public static VERBOSE" field final
632,20,3,1,<br>Make this "public static stdout" field final
632,20,3,1,<br>Make this "public static noFeedback" field final
634,10,2,1,<br>Reorder the modifiers to comply with the Java Language Specification.
641,10,3,1,<br>The type of the "clients" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "listPaths" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "ht" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "pages" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "paramsMap" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The return type of this method should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "env" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "tempList" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "client_map" object should be an interface such as "Map" rather than the implementation "HashMap".
641,10,3,1,<br>The type of the "SERVERMAP" object should be an interface such as "Map" rather than the implementation "HashMap".
641,10,3,1,<br>The type of the "items" object should be an interface such as "Map" rather than the implementation "HashMap".
641,10,3,1,<br>The type of the "objects" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "newAppletParams" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "h" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "header" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "m_optionIndex" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "remoteInterfaceList" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "posts" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "elements" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The return type of this method should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "MAP" object should be an interface such as "Map" rather than the implementation "HashMap".
641,10,3,1,<br>The type of the "list" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "parsers" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "objects" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "appletParams" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "accumulators" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "attributes" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "MEMCACHE" object should be an interface such as "Map" rather than the implementation "HashMap".
641,10,3,1,<br>The type of the "ACTIONS" object should be an interface such as "Map" rather than the implementation "HashMap".
641,10,3,1,<br>The type of the "xlabels" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "mChangeListeners" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "breakTags" object should be an interface such as "Set" rather than the implementation "HashSet".
641,10,3,1,<br>The type of the "INCPATTERNS" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "resultList" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "fileData" object should be an interface such as "List" rather than the implementation "ArrayList".
641,10,3,1,<br>The type of the "p_stack" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "ldapConnections" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "attr" object should be an interface such as "Map" rather than the implementation "Hashtable".
641,10,3,1,<br>The type of the "set" object should be an interface such as "Set" rather than the implementation "HashSet".
641,10,3,1,<br>The type of the "remoteListeners" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "listeners" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "stack" object should be an interface such as "List" rather than the implementation "LinkedList".
641,10,3,1,<br>The type of the "tempScanners" object should be an interface such as "Map" rather than the implementation "Hashtable".
