axis,value,description
BLOCKER,30,1
CRITICAL,85,1
MAJOR,5481,1
MINOR,2066,1
INFO,267,1
BLOCKER,23,2
CRITICAL,67,2
MAJOR,3720,2
MINOR,1582,2
INFO,256,2
BLOCKER,23,3
CRITICAL,68,3
MAJOR,3811,3
MINOR,1587,3
INFO,251,3
BLOCKER,23,4
CRITICAL,61,4
MAJOR,3961,4
MINOR,1433,4
INFO,278,4
BLOCKER,26,5
CRITICAL,60,5
MAJOR,3974,5
MINOR,719,5
INFO,279,5
BLOCKER,26,6
CRITICAL,62,6
MAJOR,3981,6
MINOR,725,6
INFO,279,6
BLOCKER,26,7
CRITICAL,72,7
MAJOR,3659,7
MINOR,759,7
INFO,292,7
BLOCKER,24,8
CRITICAL,67,8
MAJOR,3729,8
MINOR,824,8
INFO,318,8
BLOCKER,24,9
CRITICAL,69,9
MAJOR,3748,9
MINOR,836,9
INFO,320,9
BLOCKER,23,10
CRITICAL,68,10
MAJOR,3872,10
MINOR,955,10
INFO,335,10
BLOCKER,20,11
CRITICAL,68,11
MAJOR,3875,11
MINOR,977,11
INFO,334,11
BLOCKER,20,12
CRITICAL,69,12
MAJOR,3837,12
MINOR,794,12
INFO,340,12
BLOCKER,20,13
CRITICAL,69,13
MAJOR,3667,13
MINOR,822,13
INFO,341,13
BLOCKER,19,14
CRITICAL,74,14
MAJOR,3799,14
MINOR,837,14
INFO,352,14
BLOCKER,19,15
CRITICAL,74,15
MAJOR,3807,15
MINOR,837,15
INFO,354,15
BLOCKER,18,16
CRITICAL,74,16
MAJOR,3829,16
MINOR,843,16
INFO,362,16
BLOCKER,18,17
CRITICAL,72,17
MAJOR,3589,17
MINOR,836,17
INFO,351,17
BLOCKER,18,18
CRITICAL,73,18
MAJOR,3230,18
MINOR,787,18
INFO,390,18
BLOCKER,18,19
CRITICAL,74,19
MAJOR,3233,19
MINOR,798,19
INFO,426,19
BLOCKER,4,20
CRITICAL,12,20
MAJOR,2648,20
MINOR,653,20
INFO,320,20
BLOCKER,4,21
CRITICAL,12,21
MAJOR,2669,21
MINOR,655,21
INFO,323,21
BLOCKER,3,22
CRITICAL,14,22
MAJOR,2564,22
MINOR,635,22
INFO,315,22
BLOCKER,3,23
CRITICAL,14,23
MAJOR,2543,23
MINOR,634,23
INFO,314,23
