title,amount,severity,project,description
423,151,3,23, <br>1 duplicated blocks of code.<br>9 duplicated blocks of code.<br>5 duplicated blocks of code.<br>3 duplicated blocks of code.<br>7 duplicated blocks of code.<br>4 duplicated blocks of code.<br>2 duplicated blocks of code.<br>8 duplicated blocks of code.<br>6 duplicated blocks of code.
634,22,2,23, <br>Reorder the modifiers to comply with the Java Language Specification.
641,103,3,23, <br>The type of the "channelContexts" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "clone" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "properties" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "out" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "iterationListeners" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "savedExpanded" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "table" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "result" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "LOCK_MAP" object should be an interface such as "ConcurrentMap" rather than the implementation "ConcurrentHashMap".<br>The type of the "map" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "chunks" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "writeFunctors" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "index" object should be an interface such as "SortedMap" rather than the implementation "TreeMap".<br>The type of the "headers" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "aggregators" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "sortedInfo" object should be an interface such as "SortedMap" rather than the implementation "TreeMap".<br>The type of the "elements" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "builders" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "lhm" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "templates" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "pres" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "compiledComponents" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "groupInfos" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "env" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "metricsPerSampler" object should be an interface such as "ConcurrentMap" rather than the implementation "ConcurrentHashMap".<br>The type of the "stackLocalCopy" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "names" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The return type of this method should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "MAP" object should be an interface such as "ConcurrentMap" rather than the implementation "ConcurrentHashMap".<br>The type of the "copyList" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "pStack" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "optionIndex" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "commands" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The return type of this method should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "stack" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "listRequestView" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "objects" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "linkedHeaders" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "parameters" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "rows" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "counts" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "EXCPATTERNS" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "mChangeListeners" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "samplerContext" object should be an interface such as "ConcurrentMap" rather than the implementation "ConcurrentHashMap".<br>The type of the "readFunctors" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The return type of this method should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "sampleStore" object should be an interface such as "Queue" rather than the implementation "ConcurrentLinkedQueue".<br>The type of the "newRecentFiles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "classes" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "urlConfigs" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "sortedAttrs" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "m_map" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "INCPATTERNS" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "graphExtraConfigurations" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "HOST2SSL_SOCK_FAC" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "posts" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "allOf" object should be an interface such as "Set" rather than the implementation "EnumSet".<br>The type of the "objects" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "sortedResults" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "samples" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "fileInfos" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "menuItems" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "allThreads" object should be an interface such as "ConcurrentMap" rather than the implementation "ConcurrentHashMap".<br>The type of the "sortedVals" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "ldapContexts" object should be an interface such as "ConcurrentMap" rather than the implementation "ConcurrentHashMap".<br>The type of the "seriesData" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "headersToSave" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "viewToModel" object should be an interface such as "List" rather than the implementation "ArrayList".
644,340,3,23, <br>Make the "logger" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Make the "LOGGER" logger private static final.<br>Make the "slf4jLogger" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Make the "log" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Make the "_log" logger private static final and rename it to comply with the format "LOG(?:GER)?".<br>Rename the "log" logger to comply with the format "LOG(?:GER)?".<br>Rename the "logger" logger to comply with the format "LOG(?:GER)?".
647,1,4,23, <br>Do not override the Object.finalize() method.
648,2,3,23, <br>Refactor the code in order to not assign to this loop counter from within the loop body.
649,59,3,23, <br>Introduce a new variable instead of reusing the parameter "delimiterValue".<br>Introduce a new variable instead of reusing the parameter "bindings".<br>Introduce a new variable instead of reusing the parameter "_height".<br>Introduce a new variable instead of reusing the parameter "pos".<br>Introduce a new variable instead of reusing the parameter "file".<br>Introduce a new variable instead of reusing the parameter "node".<br>Introduce a new variable instead of reusing the parameter "out".<br>Introduce a new variable instead of reusing the parameter "current".<br>Introduce a new variable instead of reusing the parameter "policy".<br>Introduce a new variable instead of reusing the parameter "selectName".<br>Introduce a new variable instead of reusing the parameter "_maxLength".<br>Introduce a new variable instead of reusing the parameter "filename".<br>Introduce a new variable instead of reusing the parameter "errorMsg".<br>Introduce a new variable instead of reusing the parameter "encoding".<br>Introduce a new variable instead of reusing the parameter "reqAttr".<br>Introduce a new variable instead of reusing the parameter "chunkSize".<br>Introduce a new variable instead of reusing the parameter "_title".<br>Introduce a new variable instead of reusing the parameter "inForm".<br>Introduce a new variable instead of reusing the parameter "name".<br>Introduce a new variable instead of reusing the parameter "label".<br>Introduce a new variable instead of reusing the parameter "line".<br>Introduce a new variable instead of reusing the parameter "value".<br>Introduce a new variable instead of reusing the parameter "layout".<br>Introduce a new variable instead of reusing the parameter "t".<br>Introduce a new variable instead of reusing the parameter "splittee".<br>Introduce a new variable instead of reusing the parameter "baseUrl".<br>Introduce a new variable instead of reusing the parameter "found".<br>Introduce a new variable instead of reusing the parameter "s".<br>Introduce a new variable instead of reusing the parameter "url".<br>Introduce a new variable instead of reusing the parameter "_width".<br>Introduce a new variable instead of reusing the parameter "myTarget".<br>Introduce a new variable instead of reusing the parameter "impl".<br>Introduce a new variable instead of reusing the parameter "result".<br>Introduce a new variable instead of reusing the parameter "series".
661,33,3,23, <br>Remove usage of generic wildcard type.
665,221,2,23, <br>Move this constructor to comply with Java Code Conventions.<br>Move this variable to comply with Java Code Conventions.
667,4,2,23, <br>Move constants to a class or enum.
