id,value,severity
src,,
src/components,,
src/components/org,,
src/components/org/apache,,
src/components/org/apache/jmeter,,
src/components/org/apache/jmeter/assertions,,
src/components/org/apache/jmeter/assertions/BeanShellAssertion.java,4,3
src/components/org/apache/jmeter/assertions/BSFAssertion.java,4,3
src/components/org/apache/jmeter/assertions/CompareAssertion.java,1,3
src/components/org/apache/jmeter/assertions/gui,,
src/components/org/apache/jmeter/assertions/gui/AssertionGui.java,6,3
src/components/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,1,3
src/components/org/apache/jmeter/assertions/gui/HTMLAssertionGui.java,2,3
src/components/org/apache/jmeter/assertions/gui/XMLSchemaAssertionGUI.java,2,3
src/components/org/apache/jmeter/assertions/gui/XPathPanel.java,3,3
src/components/org/apache/jmeter/assertions/HTMLAssertion.java,2,3
src/components/org/apache/jmeter/assertions/JSONPathAssertion.java,4,3
src/components/org/apache/jmeter/assertions/JSR223Assertion.java,3,3
src/components/org/apache/jmeter/assertions/LogErrorHandler.java,1,3
src/components/org/apache/jmeter/assertions/MD5HexAssertion.java,2,3
src/components/org/apache/jmeter/assertions/ResponseAssertion.java,7,3
src/components/org/apache/jmeter/assertions/SMIMEAssertion.java,12,3
src/components/org/apache/jmeter/assertions/SMIMEAssertionTestElement.java,1,3
src/components/org/apache/jmeter/assertions/XMLAssertion.java,4,3
src/components/org/apache/jmeter/assertions/XMLSchemaAssertion.java,3,3
src/components/org/apache/jmeter/assertions/XPathAssertion.java,4,3
src/components/org/apache/jmeter/config,,
src/components/org/apache/jmeter/config/CSVDataSet.java,6,3
src/components/org/apache/jmeter/config/KeystoreConfig.java,2,3
src/components/org/apache/jmeter/config/RandomVariableConfig.java,3,3
src/components/org/apache/jmeter/control,,
src/components/org/apache/jmeter/control/CriticalSectionController.java,3,3
src/components/org/apache/jmeter/control/ForeachController.java,3,3
src/components/org/apache/jmeter/control/gui,,
src/components/org/apache/jmeter/control/gui/ForeachControlPanel.java,1,3
src/components/org/apache/jmeter/control/gui/IncludeControllerGui.java,1,3
src/components/org/apache/jmeter/control/gui/ModuleControllerGui.java,5,3
src/components/org/apache/jmeter/control/gui/ThroughputControllerGui.java,4,3
src/components/org/apache/jmeter/control/IncludeController.java,7,3
src/components/org/apache/jmeter/control/ModuleController.java,5,3
src/components/org/apache/jmeter/control/SwitchController.java,2,3
src/components/org/apache/jmeter/control/ThroughputController.java,4,4
src/components/org/apache/jmeter/extractor,,
src/components/org/apache/jmeter/extractor/BeanShellPostProcessor.java,5,3
src/components/org/apache/jmeter/extractor/BoundaryExtractor.java,5,3
src/components/org/apache/jmeter/extractor/BSFPostProcessor.java,5,3
src/components/org/apache/jmeter/extractor/DebugPostProcessor.java,1,3
src/components/org/apache/jmeter/extractor/DebugPostProcessorBeanInfo.java,1,3
src/components/org/apache/jmeter/extractor/gui,,
src/components/org/apache/jmeter/extractor/gui/BoundaryExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/HtmlExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/RegexExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/XPath2ExtractorGui.java,2,3
src/components/org/apache/jmeter/extractor/gui/XPathExtractorGui.java,2,3
src/components/org/apache/jmeter/extractor/HtmlExtractor.java,8,3
src/components/org/apache/jmeter/extractor/JoddExtractor.java,1,3
src/components/org/apache/jmeter/extractor/json,,
src/components/org/apache/jmeter/extractor/json/jsonpath,,
src/components/org/apache/jmeter/extractor/json/jsonpath/gui,,
src/components/org/apache/jmeter/extractor/json/jsonpath/gui/JSONPostProcessorGui.java,1,3
src/components/org/apache/jmeter/extractor/json/jsonpath/JSONManager.java,3,3
src/components/org/apache/jmeter/extractor/json/jsonpath/JSONPostProcessor.java,5,3
src/components/org/apache/jmeter/extractor/json/render,,
src/components/org/apache/jmeter/extractor/json/render/RenderAsJsonRenderer.java,4,3
src/components/org/apache/jmeter/extractor/JSoupExtractor.java,1,3
src/components/org/apache/jmeter/extractor/JSR223PostProcessor.java,4,3
src/components/org/apache/jmeter/extractor/RegexExtractor.java,14,3
src/components/org/apache/jmeter/extractor/XPath2Extractor.java,7,3
src/components/org/apache/jmeter/extractor/XPathExtractor.java,8,3
src/components/org/apache/jmeter/gui,,
src/components/org/apache/jmeter/gui/action,,
src/components/org/apache/jmeter/gui/action/ExportTransactionAndSamplerNames.java,3,3
src/components/org/apache/jmeter/modifiers,,
src/components/org/apache/jmeter/modifiers/BeanShellPreProcessor.java,4,3
src/components/org/apache/jmeter/modifiers/BSFPreProcessor.java,5,3
src/components/org/apache/jmeter/modifiers/CounterConfig.java,4,3
src/components/org/apache/jmeter/modifiers/gui,,
src/components/org/apache/jmeter/modifiers/gui/UserParametersGui.java,2,3
src/components/org/apache/jmeter/modifiers/JSR223PreProcessor.java,4,3
src/components/org/apache/jmeter/modifiers/SampleTimeout.java,6,3
src/components/org/apache/jmeter/modifiers/UserParameters.java,3,3
src/components/org/apache/jmeter/reporters,,
src/components/org/apache/jmeter/reporters/MailerModel.java,6,3
src/components/org/apache/jmeter/sampler,,
src/components/org/apache/jmeter/sampler/DebugSampler.java,1,3
src/components/org/apache/jmeter/sampler/DebugSamplerBeanInfo.java,1,3
src/components/org/apache/jmeter/sampler/TestAction.java,7,3
src/components/org/apache/jmeter/timers,,
src/components/org/apache/jmeter/timers/BeanShellTimer.java,4,3
src/components/org/apache/jmeter/timers/BSFTimer.java,4,3
src/components/org/apache/jmeter/timers/ConstantThroughputTimer.java,11,3
src/components/org/apache/jmeter/timers/gui,,
src/components/org/apache/jmeter/timers/gui/AbstractRandomTimerGui.java,5,2
src/components/org/apache/jmeter/timers/gui/GaussianRandomTimerGui.java,1,3
src/components/org/apache/jmeter/timers/gui/PoissonRandomTimerGui.java,1,3
src/components/org/apache/jmeter/timers/gui/UniformRandomTimerGui.java,1,3
src/components/org/apache/jmeter/timers/JSR223Timer.java,3,3
src/components/org/apache/jmeter/timers/poissonarrivals,,
src/components/org/apache/jmeter/timers/poissonarrivals/ConstantPoissonProcessGenerator.java,8,4
src/components/org/apache/jmeter/timers/poissonarrivals/PreciseThroughputTimer.java,4,3
src/components/org/apache/jmeter/timers/PoissonRandomTimer.java,1,3
src/components/org/apache/jmeter/timers/SyncTimer.java,8,3
src/components/org/apache/jmeter/visualizers,,
src/components/org/apache/jmeter/visualizers/AxisGraph.java,15,3
src/components/org/apache/jmeter/visualizers/backend,,
src/components/org/apache/jmeter/visualizers/backend/AbstractBackendListenerClient.java,5,3
src/components/org/apache/jmeter/visualizers/backend/BackendListener.java,11,3
src/components/org/apache/jmeter/visualizers/backend/BackendListenerContext.java,3,3
src/components/org/apache/jmeter/visualizers/backend/BackendListenerGui.java,6,3
src/components/org/apache/jmeter/visualizers/backend/graphite,,
src/components/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java,3,3
src/components/org/apache/jmeter/visualizers/backend/graphite/GraphiteMetricsSender.java,1,2
src/components/org/apache/jmeter/visualizers/backend/graphite/PickleGraphiteMetricsSender.java,4,3
src/components/org/apache/jmeter/visualizers/backend/graphite/SocketOutputStreamPoolFactory.java,1,3
src/components/org/apache/jmeter/visualizers/backend/graphite/TextGraphiteMetricsSender.java,4,3
src/components/org/apache/jmeter/visualizers/backend/influxdb,,
src/components/org/apache/jmeter/visualizers/backend/influxdb/AbstractInfluxdbMetricsSender.java,1,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/HttpMetricsSender.java,7,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/InfluxdbBackendListenerClient.java,5,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/UdpMetricsSender.java,3,3
src/components/org/apache/jmeter/visualizers/backend/UserMetric.java,1,3
src/components/org/apache/jmeter/visualizers/BeanShellListener.java,5,3
src/components/org/apache/jmeter/visualizers/BSFListener.java,5,3
src/components/org/apache/jmeter/visualizers/ComparisonVisualizer.java,2,3
src/components/org/apache/jmeter/visualizers/Graph.java,5,4
src/components/org/apache/jmeter/visualizers/GraphVisualizer.java,2,3
src/components/org/apache/jmeter/visualizers/JSR223Listener.java,4,3
src/components/org/apache/jmeter/visualizers/LineGraph.java,13,3
src/components/org/apache/jmeter/visualizers/MailerVisualizer.java,3,3
src/components/org/apache/jmeter/visualizers/RenderAsBoundaryExtractor.java,1,2
src/components/org/apache/jmeter/visualizers/RenderAsCssJQuery.java,4,3
src/components/org/apache/jmeter/visualizers/RenderAsDocument.java,2,3
src/components/org/apache/jmeter/visualizers/RenderAsHTML.java,8,3
src/components/org/apache/jmeter/visualizers/RenderAsRegexp.java,4,3
src/components/org/apache/jmeter/visualizers/RenderAsXML.java,8,3
src/components/org/apache/jmeter/visualizers/RenderAsXPath.java,5,3
src/components/org/apache/jmeter/visualizers/RenderAsXPath2.java,3,3
src/components/org/apache/jmeter/visualizers/RenderInBrowser.java,2,3
src/components/org/apache/jmeter/visualizers/RequestPanel.java,4,3
src/components/org/apache/jmeter/visualizers/RespTimeGraphChart.java,16,3
src/components/org/apache/jmeter/visualizers/RespTimeGraphVisualizer.java,13,3
src/components/org/apache/jmeter/visualizers/SamplerResultTab.java,12,3
src/components/org/apache/jmeter/visualizers/SearchTextExtension.java,4,3
src/components/org/apache/jmeter/visualizers/SearchTreePanel.java,5,3
src/components/org/apache/jmeter/visualizers/StatGraphProperties.java,1,3
src/components/org/apache/jmeter/visualizers/StatGraphVisualizer.java,21,3
src/components/org/apache/jmeter/visualizers/StatVisualizer.java,3,3
src/components/org/apache/jmeter/visualizers/SummaryReport.java,5,3
src/components/org/apache/jmeter/visualizers/TableVisualizer.java,2,3
src/components/org/apache/jmeter/visualizers/TreeNodeRenderer.java,2,3
src/components/org/apache/jmeter/visualizers/utils,,
src/components/org/apache/jmeter/visualizers/utils/Colors.java,7,3
src/components/org/apache/jmeter/visualizers/ViewResultsFullVisualizer.java,8,3
src/components/org/apache/jmeter/visualizers/XMLDefaultMutableTreeNode.java,3,3
src/core,,
src/core/org,,
src/core/org/apache,,
src/core/org/apache/jmeter,,
src/core/org/apache/jmeter/assertions,,
src/core/org/apache/jmeter/assertions/AssertionResult.java,1,1
src/core/org/apache/jmeter/assertions/CompareAssertionResult.java,1,1
src/core/org/apache/jmeter/config,,
src/core/org/apache/jmeter/config/Argument.java,2,3
src/core/org/apache/jmeter/config/Arguments.java,1,3
src/core/org/apache/jmeter/config/gui,,
src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,5,3
src/core/org/apache/jmeter/config/gui/ObsoleteGui.java,2,3
src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,5,3
src/core/org/apache/jmeter/config/gui/SimpleConfigGui.java,2,3
src/core/org/apache/jmeter/config/LoginConfig.java,1,1
src/core/org/apache/jmeter/control,,
src/core/org/apache/jmeter/control/GenericController.java,7,3
src/core/org/apache/jmeter/control/gui,,
src/core/org/apache/jmeter/control/gui/LoopControlPanel.java,1,3
src/core/org/apache/jmeter/control/gui/RunTimeGui.java,1,3
src/core/org/apache/jmeter/control/gui/TestPlanGui.java,1,3
src/core/org/apache/jmeter/control/gui/WhileControllerGui.java,1,1
src/core/org/apache/jmeter/control/gui/WorkBenchGui.java,3,3
src/core/org/apache/jmeter/control/IfController.java,11,3
src/core/org/apache/jmeter/control/LoopController.java,1,3
src/core/org/apache/jmeter/control/RunTime.java,1,3
src/core/org/apache/jmeter/control/TransactionController.java,7,3
src/core/org/apache/jmeter/control/TransactionSampler.java,3,3
src/core/org/apache/jmeter/control/WhileController.java,3,3
src/core/org/apache/jmeter/DynamicClassLoader.java,1,2
src/core/org/apache/jmeter/engine,,
src/core/org/apache/jmeter/engine/ClientJMeterEngine.java,9,3
src/core/org/apache/jmeter/engine/ConvertListeners.java,9,3
src/core/org/apache/jmeter/engine/DistributedRunner.java,5,3
src/core/org/apache/jmeter/engine/PreCompiler.java,5,3
src/core/org/apache/jmeter/engine/RemoteJMeterEngine.java,1,3
src/core/org/apache/jmeter/engine/RemoteJMeterEngineImpl.java,8,3
src/core/org/apache/jmeter/engine/StandardJMeterEngine.java,7,3
src/core/org/apache/jmeter/engine/TreeCloner.java,4,3
src/core/org/apache/jmeter/engine/TreeClonerNoTimer.java,2,3
src/core/org/apache/jmeter/engine/TurnElementsOn.java,2,3
src/core/org/apache/jmeter/engine/util,,
src/core/org/apache/jmeter/engine/util/CompoundVariable.java,10,3
src/core/org/apache/jmeter/engine/util/FunctionParser.java,20,3
src/core/org/apache/jmeter/engine/util/ReplaceFunctionsWithStrings.java,3,3
src/core/org/apache/jmeter/engine/util/ValueReplacer.java,3,3
src/core/org/apache/jmeter/exceptions,,
src/core/org/apache/jmeter/exceptions/IllegalUserActionException.java,1,1
src/core/org/apache/jmeter/functions,,
src/core/org/apache/jmeter/functions/AbstractFunction.java,4,2
